Word, English Literal Meaning,Telugu Meaning, Computer Science Meaning, Telugu Meaning
Variable,not consistent or having a fixed pattern,స్థిరమైన లేదా స్థిరమైన నమూనాను కలిగి ఉండదు,a data item that may take on more than one value during the runtime of a program,ఒక ప్రోగ్రామ్ యొక్క రన్టైమ్ సమయంలో ఒకటి కంటే ఎక్కువ విలువలను తీసుకునే ఒక డేటా అంశం
Code, a system of words or letters or figures  or symbols used to represent others  especially for the purposes of secrecy,పదాలు లేదా అక్షరాలను లేదా వ్యక్తుల లేదా సంకేతాల యొక్క వ్యవస్థ ముఖ్యంగా రహస్యంగా ప్రయోజనాల కోసం ఇతరులను సూచించడానికి ఉపయోగిస్తారు,program instructions,ప్రోగ్రామ్ సూచనలు
Data, facts and statistics collected together for reference or analysis, రిఫరెన్స్ లేదా విశ్లేషణ కోసం సేకరించిన నిజాలు మరియు గణాంకాలు, a piece of information, సమాచారం యొక్క భాగాన్ని
Process, a series of actions or steps taken in order to achieve a particular end, ఒక నిర్దిష్ట ముగింపు సాధించడానికి క్రమంలో చర్యలు లేదా దశలను వరుస, an instance of a program being executed in a multitasking operating system typically running in an environment that protects it from other processes, బహువిధి నిర్వహణ వ్యవస్థలో అమలు చేయబడిన కార్యక్రమం యొక్క ఒక ఉదాహరణ, సాధారణంగా ఇది ఇతర ప్రక్రియల నుండి రక్షించే పర్యావరణంలో నడుస్తుంది.
Stack, a pile of objects typically one that is neatly arranged., వస్తువుల కుప్ప సాధారణంగా విలక్షణముగా అమర్చబడినది., a set of storage locations which store data in such a way that the most recently stored item is the first to be retrieved, నిల్వ చేయబడిన నిల్వ స్థానాల సమితి ఇటీవల నిల్వ చేయబడిన వస్తువు తిరిగి పొందబడిన మొదటిది.
Heap, an untidy collection of objects placed haphazardly on top of each other., ఒక అసహ్యమైన వస్తువుల సేకరణ ప్రతి ఇతర పైన అస్తవ్యస్తంగా ఉంచుతుంది.,  a heap is an area of pre-reserved computer main storage ( memory ) that a program process can use to store data in some variable amount that won't be known until the program is running., ఒక కుప్ప ముందు నిల్వచేసిన కంప్యూటర్ ప్రధాన నిల్వ (మెమరీ) యొక్క ఒక ప్రాంతం, కార్యక్రమం అమలు చేసే వరకు తెలియదు కొన్ని వేరియబుల్ మొత్తంలో డేటాను నిల్వ చేయడానికి ప్రోగ్రామ్ ప్రాసెస్ను ఉపయోగించవచ్చు.  
Format, the way in which something is arranged or set out, ఏదో ఏర్పాటు లేదా ఏర్పాటు ఉంది దీనిలో మార్గం, a defined structure for the processing storage or display of data., డేటా యొక్క ప్రాసెసింగ్ నిల్వ లేదా ప్రదర్శన కోసం నిర్వచించిన నిర్మాణం.
Compiler, ఇతర వనరుల నుంచి సేకరించిన సమాచారం లేదా వ్రాతపూర్వకమైన అంశాన్ని కలపడం ద్వారా జాబితా లేదా పుస్తకాన్ని ఉత్పత్తి చేసే వ్యక్తి, a program that converts instructions into a machine-code or lower-level form so that they can be read and executed by a computer, యంత్రం-కోడ్ లేదా లో-లెవల్ రూపంలోకి సూచనలను మారుస్తుంది అందుచే వారు కంప్యూటర్ను చదవడం మరియు అమలు చేయగలరు.
Interpreter, a person who interprets especially one who translates speech orally or into sign language, మాట్లాడే వ్యక్తి ప్రత్యేకంగా ప్రసంగంగా మాట్లాడే వ్యక్తి లేదా సంకేత భాషగా అనువదిస్తాడు, a program that can analyse and execute a program line by line, ఒక కార్యక్రమం లైనును విశ్లేషించి అమలు చేయగలదు.
Static, lacking in movement. action. or change. especially in an undesirable or uninteresting way, ఉద్యమం. చర్య. లేదా మార్పు. ముఖ్యంగా అవాంఛనీయ లేదా రసహీనమైన విధంగా, (of a process or variable) not able to be changed during a set period. for example while a program is running, (ఒక ప్రక్రియ లేదా వేరియబుల్ యొక్క) ఒక సెట్ కాలంలో మార్చలేరు. ఉదాహరణకు ఒక కార్యక్రమం అమలులో ఉన్నప్పుడు 
Dynamic, (of a person) positive in attitude and full of energy and new ideas., (ఒక వ్యక్తి) దృక్పథంలో సానుకూలత మరియు శక్తి మరియు కొత్త ఆలోచనలతో పూర్తి., dynamic usually means capable of action and/or change, డైనమిక్ సాధారణంగా చర్య మరియు / లేదా మార్పు సామర్థ్యం అర్థం
Type, a category of people or things having common characteristics, ప్రజలు లేదా సాధారణ లక్షణాలు కలిగి విషయాలు ఒక వర్గం,  type is an attribute of data which tells the compiler or interpreter how the programmer intends to use the data, రకం అనేది డేటా యొక్క లక్షణం, ఇది కంపైలర్ లేదా వ్యాఖ్యానానికి తెలియజేస్తుంది. ఇది ప్రోగ్రామర్ ఎలా ఉపయోగించాలో డేటాను ఉపయోగిస్తుంది
Built-in, forming an integral part of a structure., నిర్మాణం యొక్క ఒక అంతర్భాగంగా ఏర్పరుస్తుంది., A function that is built into an application and can be accessed by end-users, ఒక కార్యక్రమంలో నిర్మించబడిన ఒక ఫంక్షన్ మరియు తుది వినియోగదారులచే ప్రాప్తి చేయబడుతుంది.
Debugging, remove insects from (something),(ఏదో) నుండి కీటకాలను తొలగించండి , the process of identifying and removing errors from computer hardware or software, కంప్యూటర్ హార్డ్వేర్ లేదా సాఫ్ట్వేర్ నుండి లోపాలను గుర్తించడం మరియు తొలగించే ప్రక్రియ